Model,Experiment,n_estimators,max_depth,learning_rate,subsample,Accuracy,Precision,Recall,F1,ROC-AUC
XGBoost,Baseline,100,6,0.3,1.0,0.9933628318584071,0.9955555555555555,0.9911504424778761,0.9933481152993349,0.9996867413266505
XGBoost,Experiment 1,200,6,0.1,1.0,0.995575221238938,0.995575221238938,0.995575221238938,0.995575221238938,0.9995888479912287
XGBoost,Experiment 2,300,6,0.1,0.8,0.9889380530973452,0.9911111111111112,0.9867256637168141,0.9889135254988913,0.9995692693241444
XGBoost,Experiment 3,300,4,0.1,0.8,0.9911504424778761,0.9868421052631579,0.995575221238938,0.9911894273127754,0.9995301119899757
XGBoost,Experiment 4,500,4,0.05,0.8,0.9933628318584071,0.9955555555555555,0.9911504424778761,0.9933481152993349,0.9997258986608192
